# The "recommended" upcase table as found in the spec:
# https://learn.microsoft.com/en-us/windows/win32/fileio/exfat-specification#table-25-recommended-up-case-table-in-compressed-format
#
# This table is already hard-coded in mkfs.exfat. It is included for demo and
# debugging purposes.
#
# The values must be presented in big-endian byte order here as the byte-order
# will be inverted when converted to binary.

0000h 	0001h 	0002h 	0003h 	0004h 	0005h 	0006h 	0007h
00C8h 	00C9h 	00CAh 	00CBh 	00CCh 	00CDh 	00CEh 	00CFh
00D0h 	00D1h 	00D2h 	00D3h 	00D4h 	00D5h 	00D6h 	00D7h
00D8h 	00D9h 	00DAh 	00DBh 	00DCh 	00DDh 	00DEh 	00DFh
00C0h 	00C1h 	00C2h 	00C3h 	00C4h 	00C5h 	00C6h 	00C7h
00C8h 	00C9h 	00CAh 	00CBh 	00CCh 	00CDh 	00CEh 	00CFh
00D0h 	00D1h 	00D2h 	00D3h 	00D4h 	00D5h 	00D6h 	00F7h
00D8h 	00D9h 	00DAh 	00DBh 	00DCh 	00DDh 	00DEh 	0178h
0100h 	0100h 	0102h 	0102h 	0104h 	0104h 	0106h 	0106h
0108h 	0108h 	010Ah 	010Ah 	010Ch 	010Ch 	010Eh 	010Eh
0110h 	0110h 	0112h 	0112h 	0114h 	0114h 	0116h 	0116h
0118h 	0118h 	011Ah 	011Ah 	011Ch 	011Ch 	011Eh 	011Eh
0120h 	0120h 	0122h 	0122h 	0124h 	0124h 	0126h 	0126h
0128h 	0128h 	012Ah 	012Ah 	012Ch 	012Ch 	012Eh 	012Eh
0130h 	0131h 	0132h 	0132h 	0134h 	0134h 	0136h 	0136h
0138h 	0139h 	0139h 	013Bh 	013Bh 	013Dh 	013Dh 	013Fh
013Fh 	0141h 	0141h 	0143h 	0143h 	0145h 	0145h 	0147h
0147h 	0149h 	014Ah 	014Ah 	014Ch 	014Ch 	014Eh 	014Eh
0150h 	0150h 	0152h 	0152h 	0154h 	0154h 	0156h 	0156h
0158h 	0158h 	015Ah 	015Ah 	015Ch 	015Ch 	015Eh 	015Eh
0160h 	0160h 	0162h 	0162h 	0164h 	0164h 	0166h 	0166h
0168h 	0168h 	016Ah 	016Ah 	016Ch 	016Ch 	016Eh 	016Eh
0170h 	0170h 	0172h 	0172h 	0174h 	0174h 	0176h 	0176h
0178h 	0179h 	0179h 	017Bh 	017Bh 	017Dh 	017Dh 	017Fh
0243h 	0181h 	0182h 	0182h 	0184h 	0184h 	0186h 	0187h
0187h 	0189h 	018Ah 	018Bh 	018Bh 	018Dh 	018Eh 	018Fh
0190h 	0191h 	0191h 	0193h 	0194h 	01F6h 	0196h 	0197h
0198h 	0198h 	023Dh 	019Bh 	019Ch 	019Dh 	0220h 	019Fh
01A0h 	01A0h 	01A2h 	01A2h 	01A4h 	01A4h 	01A6h 	01A7h
01A7h 	01A9h 	01AAh 	01ABh 	01ACh 	01ACh 	01AEh 	01AFh
01AFh 	01B1h 	01B2h 	01B3h 	01B3h 	01B5h 	01B5h 	01B7h
01B8h 	01B8h 	01BAh 	01BBh 	01BCh 	01BCh 	01BEh 	01F7h
01C0h 	01C1h 	01C2h 	01C3h 	01C4h 	01C5h 	01C4h 	01C7h
01C8h 	01C7h 	01CAh 	01CBh 	01CAh 	01CDh 	01CDh 	01CFh
01CFh 	01D1h 	01D1h 	01D3h 	01D3h 	01D5h 	01D5h 	01D7h
01D7h 	01D9h 	01D9h 	01DBh 	01DBh 	018Eh 	01DEh 	01DEh
01E0h 	01E0h 	01E2h 	01E2h 	01E4h 	01E4h 	01E6h 	01E6h
01E8h 	01E8h 	01EAh 	01EAh 	01ECh 	01ECh 	01EEh 	01EEh
01F0h 	01F1h 	01F2h 	01F1h 	01F4h 	01F4h 	01F6h 	01F7h
01F8h 	01F8h 	01FAh 	01FAh 	01FCh 	01FCh 	01FEh 	01FEh
0200h 	0200h 	0202h 	0202h 	0204h 	0204h 	0206h 	0206h
0208h 	0208h 	020Ah 	020Ah 	020Ch 	020Ch 	020Eh 	020Eh
0210h 	0210h 	0212h 	0212h 	0214h 	0214h 	0216h 	0216h
0218h 	0218h 	021Ah 	021Ah 	021Ch 	021Ch 	021Eh 	021Eh
0220h 	0221h 	0222h 	0222h 	0224h 	0224h 	0226h 	0226h
0228h 	0228h 	022Ah 	022Ah 	022Ch 	022Ch 	022Eh 	022Eh
0230h 	0230h 	0232h 	0232h 	0234h 	0235h 	0236h 	0237h
0238h 	0239h 	2C65h 	023Bh 	023Bh 	023Dh 	2C66h 	023Fh
0240h 	0241h 	0241h 	0243h 	0244h 	0245h 	0246h 	0246h
0248h 	0248h 	024Ah 	024Ah 	024Ch 	024Ch 	024Eh 	024Eh
0250h 	0251h 	0252h 	0181h 	0186h 	0255h 	0189h 	018Ah
0258h 	018Fh 	025Ah 	0190h 	025Ch 	025Dh 	025Eh 	025Fh
0193h 	0261h 	0262h 	0194h 	0264h 	0265h 	0266h 	0267h
0197h 	0196h 	026Ah 	2C62h 	026Ch 	026Dh 	026Eh 	019Ch
0270h 	0271h 	019Dh 	0273h 	0274h 	019Fh 	0276h 	0277h
0278h 	0279h 	027Ah 	027Bh 	027Ch 	2C64h 	027Eh 	027Fh
01A6h 	0281h 	0282h 	01A9h 	0284h 	0285h 	0286h 	0287h
01AEh 	0244h 	01B1h 	01B2h 	0245h 	028Dh 	028Eh 	028Fh
0290h 	0291h 	01B7h 	0293h 	0294h 	0295h 	0296h 	0297h
0298h 	0299h 	029Ah 	029Bh 	029Ch 	029Dh 	029Eh 	029Fh
02A0h 	02A1h 	02A2h 	02A3h 	02A4h 	02A5h 	02A6h 	02A7h
02A8h 	02A9h 	02AAh 	02ABh 	02ACh 	02ADh 	02AEh 	02AFh
02B0h 	02B1h 	02B2h 	02B3h 	02B4h 	02B5h 	02B6h 	02B7h
02B8h 	02B9h 	02BAh 	02BBh 	02BCh 	02BDh 	02BEh 	02BFh
02C0h 	02C1h 	02C2h 	02C3h 	02C4h 	02C5h 	02C6h 	02C7h
02C8h 	02C9h 	02CAh 	02CBh 	02CCh 	02CDh 	02CEh 	02CFh
02D0h 	02D1h 	02D2h 	02D3h 	02D4h 	02D5h 	02D6h 	02D7h
02D8h 	02D9h 	02DAh 	02DBh 	02DCh 	02DDh 	02DEh 	02DFh
02E0h 	02E1h 	02E2h 	02E3h 	02E4h 	02E5h 	02E6h 	02E7h
02E8h 	02E9h 	02EAh 	02EBh 	02ECh 	02EDh 	02EEh 	02EFh
02F0h 	02F1h 	02F2h 	02F3h 	02F4h 	02F5h 	02F6h 	02F7h
02F8h 	02F9h 	02FAh 	02FBh 	02FCh 	02FDh 	02FEh 	02FFh
0300h 	0301h 	0302h 	0303h 	0304h 	0305h 	0306h 	0307h
0308h 	0309h 	030Ah 	030Bh 	030Ch 	030Dh 	030Eh 	030Fh
0310h 	0311h 	0312h 	0313h 	0314h 	0315h 	0316h 	0317h
0318h 	0319h 	031Ah 	031Bh 	031Ch 	031Dh 	031Eh 	031Fh
0320h 	0321h 	0322h 	0323h 	0324h 	0325h 	0326h 	0327h
0328h 	0329h 	032Ah 	032Bh 	032Ch 	032Dh 	032Eh 	032Fh
0330h 	0331h 	0332h 	0333h 	0334h 	0335h 	0336h 	0337h
0338h 	0339h 	033Ah 	033Bh 	033Ch 	033Dh 	033Eh 	033Fh
0340h 	0341h 	0342h 	0343h 	0344h 	0345h 	0346h 	0347h
0348h 	0349h 	034Ah 	034Bh 	034Ch 	034Dh 	034Eh 	034Fh
0350h 	0351h 	0352h 	0353h 	0354h 	0355h 	0356h 	0357h
0358h 	0359h 	035Ah 	035Bh 	035Ch 	035Dh 	035Eh 	035Fh
0360h 	0361h 	0362h 	0363h 	0364h 	0365h 	0366h 	0367h
0368h 	0369h 	036Ah 	036Bh 	036Ch 	036Dh 	036Eh 	036Fh
0370h 	0371h 	0372h 	0373h 	0374h 	0375h 	0376h 	0377h
0378h 	0379h 	037Ah 	03FDh 	03FEh 	03FFh 	037Eh 	037Fh
0380h 	0381h 	0382h 	0383h 	0384h 	0385h 	0386h 	0387h
0388h 	0389h 	038Ah 	038Bh 	038Ch 	038Dh 	038Eh 	038Fh
0390h 	0391h 	0392h 	0393h 	0394h 	0395h 	0396h 	0397h
0398h 	0399h 	039Ah 	039Bh 	039Ch 	039Dh 	039Eh 	039Fh
03A0h 	03A1h 	03A2h 	03A3h 	03A4h 	03A5h 	03A6h 	03A7h
03A8h 	03A9h 	03AAh 	03ABh 	0386h 	0388h 	0389h 	038Ah
03B0h 	0391h 	0392h 	0393h 	0394h 	0395h 	0396h 	0397h
0398h 	0399h 	039Ah 	039Bh 	039Ch 	039Dh 	039Eh 	039Fh
03A0h 	03A1h 	03A3h 	03A3h 	03A4h 	03A5h 	03A6h 	03A7h
03A8h 	03A9h 	03AAh 	03ABh 	038Ch 	038Eh 	038Fh 	03CFh
03D0h 	03D1h 	03D2h 	03D3h 	03D4h 	03D5h 	03D6h 	03D7h
03D8h 	03D8h 	03DAh 	03DAh 	03DCh 	03DCh 	03DEh 	03DEh
03E0h 	03E0h 	03E2h 	03E2h 	03E4h 	03E4h 	03E6h 	03E6h
03E8h 	03E8h 	03EAh 	03EAh 	03ECh 	03ECh 	03EEh 	03EEh
03F0h 	03F1h 	03F9h 	03F3h 	03F4h 	03F5h 	03F6h 	03F7h
03F7h 	03F9h 	03FAh 	03FAh 	03FCh 	03FDh 	03FEh 	03FFh
0400h 	0401h 	0402h 	0403h 	0404h 	0405h 	0406h 	0407h
0408h 	0409h 	040Ah 	040Bh 	040Ch 	040Dh 	040Eh 	040Fh
0410h 	0411h 	0412h 	0413h 	0414h 	0415h 	0416h 	0417h
0418h 	0419h 	041Ah 	041Bh 	041Ch 	041Dh 	041Eh 	041Fh
0420h 	0421h 	0422h 	0423h 	0424h 	0425h 	0426h 	0427h
0428h 	0429h 	042Ah 	042Bh 	042Ch 	042Dh 	042Eh 	042Fh
0410h 	0411h 	0412h 	0413h 	0414h 	0415h 	0416h 	0417h
0418h 	0419h 	041Ah 	041Bh 	041Ch 	041Dh 	041Eh 	041Fh
0420h 	0421h 	0422h 	0423h 	0424h 	0425h 	0426h 	0427h
0428h 	0429h 	042Ah 	042Bh 	042Ch 	042Dh 	042Eh 	042Fh
0400h 	0401h 	0402h 	0403h 	0404h 	0405h 	0406h 	0407h
0408h 	0409h 	040Ah 	040Bh 	040Ch 	040Dh 	040Eh 	040Fh
0460h 	0460h 	0462h 	0462h 	0464h 	0464h 	0466h 	0466h
0468h 	0468h 	046Ah 	046Ah 	046Ch 	046Ch 	046Eh 	046Eh
0470h 	0470h 	0472h 	0472h 	0474h 	0474h 	0476h 	0476h
0478h 	0478h 	047Ah 	047Ah 	047Ch 	047Ch 	047Eh 	047Eh
0480h 	0480h 	0482h 	0483h 	0484h 	0485h 	0486h 	0487h
0488h 	0489h 	048Ah 	048Ah 	048Ch 	048Ch 	048Eh 	048Eh
0490h 	0490h 	0492h 	0492h 	0494h 	0494h 	0496h 	0496h
0498h 	0498h 	049Ah 	049Ah 	049Ch 	049Ch 	049Eh 	049Eh
04A0h 	04A0h 	04A2h 	04A2h 	04A4h 	04A4h 	04A6h 	04A6h
04A8h 	04A8h 	04AAh 	04AAh 	04ACh 	04ACh 	04AEh 	04AEh
04B0h 	04B0h 	04B2h 	04B2h 	04B4h 	04B4h 	04B6h 	04B6h
04B8h 	04B8h 	04BAh 	04BAh 	04BCh 	04BCh 	04BEh 	04BEh
04C0h 	04C1h 	04C1h 	04C3h 	04C3h 	04C5h 	04C5h 	04C7h
04C7h 	04C9h 	04C9h 	04CBh 	04CBh 	04CDh 	04CDh 	04C0h
04D0h 	04D0h 	04D2h 	04D2h 	04D4h 	04D4h 	04D6h 	04D6h
04D8h 	04D8h 	04DAh 	04DAh 	04DCh 	04DCh 	04DEh 	04DEh
04E0h 	04E0h 	04E2h 	04E2h 	04E4h 	04E4h 	04E6h 	04E6h
04E8h 	04E8h 	04EAh 	04EAh 	04ECh 	04ECh 	04EEh 	04EEh
04F0h 	04F0h 	04F2h 	04F2h 	04F4h 	04F4h 	04F6h 	04F6h
04F8h 	04F8h 	04FAh 	04FAh 	04FCh 	04FCh 	04FEh 	04FEh
0500h 	0500h 	0502h 	0502h 	0504h 	0504h 	0506h 	0506h
0508h 	0508h 	050Ah 	050Ah 	050Ch 	050Ch 	050Eh 	050Eh
0510h 	0510h 	0512h 	0512h 	0514h 	0515h 	0516h 	0517h
0518h 	0519h 	051Ah 	051Bh 	051Ch 	051Dh 	051Eh 	051Fh
0520h 	0521h 	0522h 	0523h 	0524h 	0525h 	0526h 	0527h
0528h 	0529h 	052Ah 	052Bh 	052Ch 	052Dh 	052Eh 	052Fh
0530h 	0531h 	0532h 	0533h 	0534h 	0535h 	0536h 	0537h
0538h 	0539h 	053Ah 	053Bh 	053Ch 	053Dh 	053Eh 	053Fh
0540h 	0541h 	0542h 	0543h 	0544h 	0545h 	0546h 	0547h
0548h 	0549h 	054Ah 	054Bh 	054Ch 	054Dh 	054Eh 	054Fh
0550h 	0551h 	0552h 	0553h 	0554h 	0555h 	0556h 	0557h
0558h 	0559h 	055Ah 	055Bh 	055Ch 	055Dh 	055Eh 	055Fh
0560h 	0531h 	0532h 	0533h 	0534h 	0535h 	0536h 	0537h
0538h 	0539h 	053Ah 	053Bh 	053Ch 	053Dh 	053Eh 	053Fh
0540h 	0541h 	0542h 	0543h 	0544h 	0545h 	0546h 	0547h
0548h 	0549h 	054Ah 	054Bh 	054Ch 	054Dh 	054Eh 	054Fh
0550h 	0551h 	0552h 	0553h 	0554h 	0555h 	0556h 	FFFFh
17F6h 	2C63h 	1D7Eh 	1D7Fh 	1D80h 	1D81h 	1D82h 	1D83h
1D84h 	1D85h 	1D86h 	1D87h 	1D88h 	1D89h 	1D8Ah 	1D8Bh
1D8Ch 	1D8Dh 	1D8Eh 	1D8Fh 	1D90h 	1D91h 	1D92h 	1D93h
1D94h 	1D95h 	1D96h 	1D97h 	1D98h 	1D99h 	1D9Ah 	1D9Bh
1D9Ch 	1D9Dh 	1D9Eh 	1D9Fh 	1DA0h 	1DA1h 	1DA2h 	1DA3h
1DA4h 	1DA5h 	1DA6h 	1DA7h 	1DA8h 	1DA9h 	1DAAh 	1DABh
1DACh 	1DADh 	1DAEh 	1DAFh 	1DB0h 	1DB1h 	1DB2h 	1DB3h
1DB4h 	1DB5h 	1DB6h 	1DB7h 	1DB8h 	1DB9h 	1DBAh 	1DBBh
1DBCh 	1DBDh 	1DBEh 	1DBFh 	1DC0h 	1DC1h 	1DC2h 	1DC3h
1DC4h 	1DC5h 	1DC6h 	1DC7h 	1DC8h 	1DC9h 	1DCAh 	1DCBh
1DCCh 	1DCDh 	1DCEh 	1DCFh 	1DD0h 	1DD1h 	1DD2h 	1DD3h
1DD4h 	1DD5h 	1DD6h 	1DD7h 	1DD8h 	1DD9h 	1DDAh 	1DDBh
1DDCh 	1DDDh 	1DDEh 	1DDFh 	1DE0h 	1DE1h 	1DE2h 	1DE3h
1DE4h 	1DE5h 	1DE6h 	1DE7h 	1DE8h 	1DE9h 	1DEAh 	1DEBh
1DECh 	1DEDh 	1DEEh 	1DEFh 	1DF0h 	1DF1h 	1DF2h 	1DF3h
1DF4h 	1DF5h 	1DF6h 	1DF7h 	1DF8h 	1DF9h 	1DFAh 	1DFBh
1DFCh 	1DFDh 	1DFEh 	1DFFh 	1E00h 	1E00h 	1E02h 	1E02h
1E04h 	1E04h 	1E06h 	1E06h 	1E08h 	1E08h 	1E0Ah 	1E0Ah
1E0Ch 	1E0Ch 	1E0Eh 	1E0Eh 	1E10h 	1E10h 	1E12h 	1E12h
1E14h 	1E14h 	1E16h 	1E16h 	1E18h 	1E18h 	1E1Ah 	1E1Ah
1E1Ch 	1E1Ch 	1E1Eh 	1E1Eh 	1E20h 	1E20h 	1E22h 	1E22h
1E24h 	1E24h 	1E26h 	1E26h 	1E28h 	1E28h 	1E2Ah 	1E2Ah
1E2Ch 	1E2Ch 	1E2Eh 	1E2Eh 	1E30h 	1E30h 	1E32h 	1E32h
1E34h 	1E34h 	1E36h 	1E36h 	1E38h 	1E38h 	1E3Ah 	1E3Ah
1E3Ch 	1E3Ch 	1E3Eh 	1E3Eh 	1E40h 	1E40h 	1E42h 	1E42h
1E44h 	1E44h 	1E46h 	1E46h 	1E48h 	1E48h 	1E4Ah 	1E4Ah
1E4Ch 	1E4Ch 	1E4Eh 	1E4Eh 	1E50h 	1E50h 	1E52h 	1E52h
1E54h 	1E54h 	1E56h 	1E56h 	1E58h 	1E58h 	1E5Ah 	1E5Ah
1E5Ch 	1E5Ch 	1E5Eh 	1E5Eh 	1E60h 	1E60h 	1E62h 	1E62h
1E64h 	1E64h 	1E66h 	1E66h 	1E68h 	1E68h 	1E6Ah 	1E6Ah
1E6Ch 	1E6Ch 	1E6Eh 	1E6Eh 	1E70h 	1E70h 	1E72h 	1E72h
1E74h 	1E74h 	1E76h 	1E76h 	1E78h 	1E78h 	1E7Ah 	1E7Ah
1E7Ch 	1E7Ch 	1E7Eh 	1E7Eh 	1E80h 	1E80h 	1E82h 	1E82h
1E84h 	1E84h 	1E86h 	1E86h 	1E88h 	1E88h 	1E8Ah 	1E8Ah
1E8Ch 	1E8Ch 	1E8Eh 	1E8Eh 	1E90h 	1E90h 	1E92h 	1E92h
1E94h 	1E94h 	1E96h 	1E97h 	1E98h 	1E99h 	1E9Ah 	1E9Bh
1E9Ch 	1E9Dh 	1E9Eh 	1E9Fh 	1EA0h 	1EA0h 	1EA2h 	1EA2h
1EA4h 	1EA4h 	1EA6h 	1EA6h 	1EA8h 	1EA8h 	1EAAh 	1EAAh
1EACh 	1EACh 	1EAEh 	1EAEh 	1EB0h 	1EB0h 	1EB2h 	1EB2h
1EB4h 	1EB4h 	1EB6h 	1EB6h 	1EB8h 	1EB8h 	1EBAh 	1EBAh
1EBCh 	1EBCh 	1EBEh 	1EBEh 	1EC0h 	1EC0h 	1EC2h 	1EC2h
1EC4h 	1EC4h 	1EC6h 	1EC6h 	1EC8h 	1EC8h 	1ECAh 	1ECAh
1ECCh 	1ECCh 	1ECEh 	1ECEh 	1ED0h 	1ED0h 	1ED2h 	1ED2h
1ED4h 	1ED4h 	1ED6h 	1ED6h 	1ED8h 	1ED8h 	1EDAh 	1EDAh
1EDCh 	1EDCh 	1EDEh 	1EDEh 	1EE0h 	1EE0h 	1EE2h 	1EE2h
1EE4h 	1EE4h 	1EE6h 	1EE6h 	1EE8h 	1EE8h 	1EEAh 	1EEAh
1EECh 	1EECh 	1EEEh 	1EEEh 	1EF0h 	1EF0h 	1EF2h 	1EF2h
1EF4h 	1EF4h 	1EF6h 	1EF6h 	1EF8h 	1EF8h 	1EFAh 	1EFBh
1EFCh 	1EFDh 	1EFEh 	1EFFh 	1F08h 	1F09h 	1F0Ah 	1F0Bh
1F0Ch 	1F0Dh 	1F0Eh 	1F0Fh 	1F08h 	1F09h 	1F0Ah 	1F0Bh
1F0Ch 	1F0Dh 	1F0Eh 	1F0Fh 	1F18h 	1F19h 	1F1Ah 	1F1Bh
1F1Ch 	1F1Dh 	1F16h 	1F17h 	1F18h 	1F19h 	1F1Ah 	1F1Bh
1F1Ch 	1F1Dh 	1F1Eh 	1F1Fh 	1F28h 	1F29h 	1F2Ah 	1F2Bh
1F2Ch 	1F2Dh 	1F2Eh 	1F2Fh 	1F28h 	1F29h 	1F2Ah 	1F2Bh
1F2Ch 	1F2Dh 	1F2Eh 	1F2Fh 	1F38h 	1F39h 	1F3Ah 	1F3Bh
1F3Ch 	1F3Dh 	1F3Eh 	1F3Fh 	1F38h 	1F39h 	1F3Ah 	1F3Bh
1F3Ch 	1F3Dh 	1F3Eh 	1F3Fh 	1F48h 	1F49h 	1F4Ah 	1F4Bh
1F4Ch 	1F4Dh 	1F46h 	1F47h 	1F48h 	1F49h 	1F4Ah 	1F4Bh
1F4Ch 	1F4Dh 	1F4Eh 	1F4Fh 	1F50h 	1F59h 	1F52h 	1F5Bh
1F54h 	1F5Dh 	1F56h 	1F5Fh 	1F58h 	1F59h 	1F5Ah 	1F5Bh
1F5Ch 	1F5Dh 	1F5Eh 	1F5Fh 	1F68h 	1F69h 	1F6Ah 	1F6Bh
1F6Ch 	1F6Dh 	1F6Eh 	1F6Fh 	1F68h 	1F69h 	1F6Ah 	1F6Bh
1F6Ch 	1F6Dh 	1F6Eh 	1F6Fh 	1FBAh 	1FBBh 	1FC8h 	1FC9h
1FCAh 	1FCBh 	1FDAh 	1FDBh 	1FF8h 	1FF9h 	1FEAh 	1FEBh
1FFAh 	1FFBh 	1F7Eh 	1F7Fh 	1F88h 	1F89h 	1F8Ah 	1F8Bh
1F8Ch 	1F8Dh 	1F8Eh 	1F8Fh 	1F88h 	1F89h 	1F8Ah 	1F8Bh
1F8Ch 	1F8Dh 	1F8Eh 	1F8Fh 	1F98h 	1F99h 	1F9Ah 	1F9Bh
1F9Ch 	1F9Dh 	1F9Eh 	1F9Fh 	1F98h 	1F99h 	1F9Ah 	1F9Bh
1F9Ch 	1F9Dh 	1F9Eh 	1F9Fh 	1FA8h 	1FA9h 	1FAAh 	1FABh
1FACh 	1FADh 	1FAEh 	1FAFh 	1FA8h 	1FA9h 	1FAAh 	1FABh
1FACh 	1FADh 	1FAEh 	1FAFh 	1FB8h 	1FB9h 	1FB2h 	1FBCh
1FB4h 	1FB5h 	1FB6h 	1FB7h 	1FB8h 	1FB9h 	1FBAh 	1FBBh
1FBCh 	1FBDh 	1FBEh 	1FBFh 	1FC0h 	1FC1h 	1FC2h 	1FC3h
1FC4h 	1FC5h 	1FC6h 	1FC7h 	1FC8h 	1FC9h 	1FCAh 	1FCBh
1FC3h 	1FCDh 	1FCEh 	1FCFh 	1FD8h 	1FD9h 	1FD2h 	1FD3h
1FD4h 	1FD5h 	1FD6h 	1FD7h 	1FD8h 	1FD9h 	1FDAh 	1FDBh
1FDCh 	1FDDh 	1FDEh 	1FDFh 	1FE8h 	1FE9h 	1FE2h 	1FE3h
1FE4h 	1FECh 	1FE6h 	1FE7h 	1FE8h 	1FE9h 	1FEAh 	1FEBh
1FECh 	1FEDh 	1FEEh 	1FEFh 	1FF0h 	1FF1h 	1FF2h 	1FF3h
1FF4h 	1FF5h 	1FF6h 	1FF7h 	1FF8h 	1FF9h 	1FFAh 	1FFBh
1FF3h 	1FFDh 	1FFEh 	1FFFh 	2000h 	2001h 	2002h 	2003h
2004h 	2005h 	2006h 	2007h 	2008h 	2009h 	200Ah 	200Bh
200Ch 	200Dh 	200Eh 	200Fh 	2010h 	2011h 	2012h 	2013h
2014h 	2015h 	2016h 	2017h 	2018h 	2019h 	201Ah 	201Bh
201Ch 	201Dh 	201Eh 	201Fh 	2020h 	2021h 	2022h 	2023h
2024h 	2025h 	2026h 	2027h 	2028h 	2029h 	202Ah 	202Bh
202Ch 	202Dh 	202Eh 	202Fh 	2030h 	2031h 	2032h 	2033h
2034h 	2035h 	2036h 	2037h 	2038h 	2039h 	203Ah 	203Bh
203Ch 	203Dh 	203Eh 	203Fh 	2040h 	2041h 	2042h 	2043h
2044h 	2045h 	2046h 	2047h 	2048h 	2049h 	204Ah 	204Bh
204Ch 	204Dh 	204Eh 	204Fh 	2050h 	2051h 	2052h 	2053h
2054h 	2055h 	2056h 	2057h 	2058h 	2059h 	205Ah 	205Bh
205Ch 	205Dh 	205Eh 	205Fh 	2060h 	2061h 	2062h 	2063h
2064h 	2065h 	2066h 	2067h 	2068h 	2069h 	206Ah 	206Bh
206Ch 	206Dh 	206Eh 	206Fh 	2070h 	2071h 	2072h 	2073h
2074h 	2075h 	2076h 	2077h 	2078h 	2079h 	207Ah 	207Bh
207Ch 	207Dh 	207Eh 	207Fh 	2080h 	2081h 	2082h 	2083h
2084h 	2085h 	2086h 	2087h 	2088h 	2089h 	208Ah 	208Bh
208Ch 	208Dh 	208Eh 	208Fh 	2090h 	2091h 	2092h 	2093h
2094h 	2095h 	2096h 	2097h 	2098h 	2099h 	209Ah 	209Bh
209Ch 	209Dh 	209Eh 	209Fh 	20A0h 	20A1h 	20A2h 	20A3h
20A4h 	20A5h 	20A6h 	20A7h 	20A8h 	20A9h 	20AAh 	20ABh
20ACh 	20ADh 	20AEh 	20AFh 	20B0h 	20B1h 	20B2h 	20B3h
20B4h 	20B5h 	20B6h 	20B7h 	20B8h 	20B9h 	20BAh 	20BBh
20BCh 	20BDh 	20BEh 	20BFh 	20C0h 	20C1h 	20C2h 	20C3h
20C4h 	20C5h 	20C6h 	20C7h 	20C8h 	20C9h 	20CAh 	20CBh
20CCh 	20CDh 	20CEh 	20CFh 	20D0h 	20D1h 	20D2h 	20D3h
20D4h 	20D5h 	20D6h 	20D7h 	20D8h 	20D9h 	20DAh 	20DBh
20DCh 	20DDh 	20DEh 	20DFh 	20E0h 	20E1h 	20E2h 	20E3h
20E4h 	20E5h 	20E6h 	20E7h 	20E8h 	20E9h 	20EAh 	20EBh
20ECh 	20EDh 	20EEh 	20EFh 	20F0h 	20F1h 	20F2h 	20F3h
20F4h 	20F5h 	20F6h 	20F7h 	20F8h 	20F9h 	20FAh 	20FBh
20FCh 	20FDh 	20FEh 	20FFh 	2100h 	2101h 	2102h 	2103h
2104h 	2105h 	2106h 	2107h 	2108h 	2109h 	210Ah 	210Bh
